gbifID,year,locality,decimalLatitude,decimalLongitude,individualCount,sex,associatedReferences,identifiedBy,basisOfRecord,scientificName,source,jitter_seed,lat_jitter,lon_jitter,locality_norm,ref_lat,ref_lon,notes,distance_to_ref,contentious
4941322768,1967,Puerto de Tarna,43.105,-5.274,1,NA,54_Wood_etal_6493_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941322767,1968,Puerto de las Senales,43.105,-5.274,1,NA,54_Wood_etal_7079_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,43.075495,-5.243387,Google Maps_manual,4.1,OK
4941322019,1967,Puerto de Pajares,43.004,-5.761,1,NA,54_Wood_etal_6498_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Pajares,42.992931,-5.759654,Google Maps_manual,1.2,OK
4941321580,1988,Puerto de las Señales,43.004,-6.239,1,NA,"54_Wood_etal_35218_Obeso, 1992",J.R. Obeso,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,NA,NA,NA,NA,OK
4941321578,NA,Puerto de la Magdalena,42.825,-6.247,1,NA,"54_Wood_etal_597_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de la Magdalena,42.867892,-6.210745,Google Maps_manual,5.6,OK
4941321454,1966,Puerto de Leitariegos,43.007,-6.362,1,NA,54_Wood_etal_6266_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Leitariegos,42.998381,-6.417662,Google Maps_manual,4.6,OK
4941320959,1967,Puerto de Pajares,43.004,-5.761,1,NA,54_Wood_etal_6513_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Pajares,42.992931,-5.759654,Google Maps_manual,1.2,OK
4941320744,2018,NA,43.097,-6.044,1,NA,46_Obeso_244_https://doi.org/10.1007/s00442-013-2731-7,NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941320520,1988,Puerto el Palo,43.004,-6.239,1,NA,"54_Wood_etal_35219_Obeso, 1992",J.R. Obeso,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto el Palo,43.272423,-6.677801,Google Maps_manual,46.5,Location mismatch >10km
4941320519,NA,NA,42.91,-6.24,1,NA,i1_Gbif_6238_NA,NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941320517,1967,Puerto de la Magdalena,42.825,-6.247,3,NA,54_Wood_etal_6507_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de la Magdalena,42.867892,-6.210745,Google Maps_manual,5.6,OK
4941320393,1967,Puerto de Leitariegos,43.007,-6.362,2,NA,54_Wood_etal_6428_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Leitariegos,42.998381,-6.417662,Google Maps_manual,4.6,OK
4941319348,NA,NA,43.02,-4.78,1,NA,i1_Gbif_6249_NA,NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941319345,1967,Puerto de San Glorio,43.024,-4.78,1,NA,54_Wood_etal_6470_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de San Glorio,43.066884,-4.765728,Google Maps_manual,4.9,OK
4941318989,1984,NA,43.024,-4.78,1,NA,"54_Wood_etal_34421_Castro, 2010",L. Castro,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941318980,2015,NA,43.204,-4.785,1,NA,"54_Wood_etal_40861_Gbif,2015",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941318681,1967,Puerto de Tarna,43.105,-5.274,1,NA,54_Wood_etal_6475_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941318680,1967,Puerto de las Senales,43.105,-5.274,1,NA,54_Wood_etal_6567_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,43.075495,-5.243387,Google Maps_manual,4.1,OK
4941317562,2015,NA,43.029,-4.412,1,NA,"54_Wood_etal_40858_Gbif,2015",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941316150,2015,NA,43.024,-4.78,1,NA,"54_Wood_etal_40857_Gbif,2015",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941315942,NA,NA,43.11,-5.15,1,NA,i1_Gbif_6254_NA,NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941315842,1967,Puerto de Tarna,43.105,-5.274,1,NA,54_Wood_etal_6515_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941315841,1968,Puerto de las Senales,43.105,-5.274,1,NA,54_Wood_etal_7088_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,43.075495,-5.243387,Google Maps_manual,4.1,OK
4941315306,1966,Puerto de Pajares,43.004,-5.761,1,NA,54_Wood_etal_6259_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Pajares,42.992931,-5.759654,Google Maps_manual,1.2,OK
4941315219,NA,Maraña,43.017,-5.148,1,NA,"54_Wood_etal_595_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Marana,NA,NA,NA,NA,OK
4941315119,1966,Puerto de Tarna,43.105,-5.274,2,NA,54_Wood_etal_6268_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941315118,1984,NA,43.105,-5.274,1,NA,"54_Wood_etal_34424_Castro, 2010",L. Castro,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941314583,1967,Puerto de Pajares,43.004,-5.761,1,NA,54_Wood_etal_6459_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Pajares,42.992931,-5.759654,Google Maps_manual,1.2,OK
4941314032,1968,Puerto de Pajares,43.004,-5.761,1,NA,54_Wood_etal_7090_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Pajares,42.992931,-5.759654,Google Maps_manual,1.2,OK
